date,net_sales_total,net_order_entry_total,mitarbeiter_vertrieb,mitarbeiter_service,mitarbeiter_total
2014-01-31,9914.85,13197.85,94,178,272
2014-02-28,8793.66,11632.08,96,178,274
2014-03-31,12689.12,14404.37,97,179,276
2014-04-30,12420.6,11512.26,97,180,277
2014-05-31,11825.02,11875.16,99,178,277
2014-06-30,11675.38,12004.93,99,179,278
2014-07-31,14701.67,15251.05,100,177,277
2014-08-31,11919.3,13518.36,101,178,279
2014-09-30,13890.89,12832.09,102,180,282
2014-10-31,14477.32,14727.83,101,181,282
2014-11-30,14819.63,14190.36,102,183,285
2014-12-31,23872.21,14991.07,102,183,285
2015-01-31,9376.13,13883.13,101,184,285
2015-02-28,11185.34,12876.21,101,185,286
2015-03-31,12123.33,15380.95,102,187,289
2015-04-30,11962.38,12364.62,102,189,291
2015-05-31,12241.16,11005.48,102,191,293
2015-06-30,14920.98,14080.65,103,192,295
2015-07-31,12897.38,15901.97,104,194,298
2015-08-31,11800.12,13078.3,103,193,296
2015-09-30,14484.11,13887.37,104,194,298
2015-10-31,27067.43,16407.45,104,198,302
2015-11-30,22116.18,18919.7,105,197,302
2015-12-31,29920.35,15094.5,105,197,302
2016-01-31,10786.01,14266.23,105,196,301
2016-02-29,13078.7,15590.95,103,198,301
2016-03-31,19122.63,16659.31,103,196,299
2016-04-30,17190.46,14222.55,102,196,298
2016-05-31,18476.67,11790.48,103,200,303
2016-06-30,19136.45,15971.41,103,201,304
2016-07-31,15665.82,16082.41,103,210,313
2016-08-31,15386.19,14636.22,107,210,317
2016-09-30,15013.18,16459.01,109,210,319
2016-10-31,16987.63,13867.26,109,213,322
2016-11-30,24609.53,18320.88,109,212,321
2016-12-31,23621.01,17817.09,109,212,321
2017-01-31,12041.85,17559.75,111,210,321
2017-02-28,12340.36,14874.03,109,212,321
2017-03-31,17217.28,17571.33,111,211,322
2017-04-30,11915.46,10823.27,111,214,325
2017-05-31,19004.93,16913.44,111,216,327
2017-06-30,20358.88,15771.87,110,222,332
2017-07-31,15071.84,16474.55,113,226,339
2017-08-31,16221.78,16689.52,114,226,340
2017-09-30,12340.04,14073.67,117,227,344
2017-10-31,13374.6,13637.61,115,234,349
2017-11-30,21795.78,20096.68,114,237,351
2017-12-31,26340.93,19920.44,114,236,350
2018-01-31,11584.4,22029.1,132,271,403
2018-02-28,11258.71,12150.74,132,277,409
2018-03-31,15702.64,17076.83,132,276,408
2018-04-30,14612.35,16829.06,133,279,412
2018-05-31,18923.05,17190.95,132,285,417
2018-06-30,23813.5,21278.72,132,285,417
2018-07-31,16809.11,17348.49,133,290,423
2018-08-31,17666.65,16849.26,132,290,422
2018-09-30,16164.97,15896.75,136,298,434
2018-10-31,18419.34,17918.5,137,298,435
2018-11-30,25458.01,25400.79,140,300,440
2018-12-31,26847.46,19953.0,140,307,447
2019-01-31,13502.9,24819.54,154,327,481
2019-02-28,14876.81,22240.31,157,330,487
2019-03-31,17959.92,19561.25,159,334,493
2019-04-30,16263.61,16683.08,160,329,489
2019-05-31,17818.01,17014.63,161,330,491
2019-06-30,16857.2,17336.02,159,329,488
2019-07-31,18658.26,20606.07,159,333,492
2019-08-31,18992.97,18240.72,160,338,498
2019-09-30,22492.38,22116.09,163,339,502
2019-10-31,19827.83,21175.14,164,342,506
2019-11-30,23225.95,19058.96,165,344,509
2019-12-31,35967.12,38654.39,164,347,511
2020-01-31,15977.51,29491.33,165,348,513
2020-02-29,19232.62,30768.0,165,350,515
2020-03-31,22792.6,36252.66,166,351,517
2020-04-30,21771.59,18417.03,167,351,518
2020-05-31,18184.58,18193.14,168,361,529
2020-06-30,18914.26,32408.43,169,359,528
2020-07-31,20380.39,20105.06,168,360,528
2020-08-31,22629.8,19448.67,170,357,527
2020-09-30,21160.01,18551.9,175,353,528
2020-10-31,25813.22,24078.83,173,358,531
2020-11-30,30086.04,28359.19,172,359,531
2020-12-31,40615.4,23429.64,173,360,533
2021-01-31,16954.33,20914.31,174,355,529
2021-02-28,18353.67,30956.93,176,356,532
2021-03-31,22246.91,23698.38,177,358,535
2021-04-30,19831.98,18709.7,181,357,538
2021-05-31,25000.83,20555.76,180,362,542
2021-06-30,24789.72,21007.67,181,364,545
2021-07-31,23813.48,22668.51,183,365,548
2021-08-31,21666.14,29246.95,182,365,547
2021-09-30,22539.45,19569.21,181,365,546
2021-10-31,25604.35,23459.52,182,371,553
2021-11-30,29177.97,26099.64,184,372,556
2021-12-31,41728.45,24730.63,185,369,554
2022-01-31,13971.52,23509.45,187,367,554
2022-02-28,14906.38,34106.03,186,370,556
2022-03-31,20890.81,26620.18,187,371,558
2022-04-30,20149.34,20463.45,186,373,559
2022-05-31,22442.0,23919.96,186,371,557
2022-06-30,22358.85,30234.99,185,368,553
2022-07-31,20591.99,22237.16,189,370,559
2022-08-31,26062.56,29621.98,186,372,558
2022-09-30,27195.69,21720.32,185,378,563
2022-10-31,27263.05,21349.68,188,379,567
2022-11-30,35235.09,26340.08,184,379,563
2022-12-31,43826.61,36522.89,186,385,571
